水域,大学名,クラス
北海道,北海道大,470級
東北,東北大,470級
関東,慶應義塾大,470級
関東,早稲田大,470級
関東,明海大,470級
関東,日本大,470級
関東,中央大,470級
関東,法政大,470級
関東,千葉大,470級
中部,愛知工業大,470級
中部,愛知大,470級
近畿北陸,同志社大,470級
近畿北陸,京都大,470級
近畿北陸,金沢大,470級
関西,関西学院大,470級
関西,関西大,470級
関西,近畿大,470級
中国,広島大,470級
中国,鳥取大,470級
四国,徳島大,470級
九州,九州大,470級
九州,日本経済大,470級
九州,鹿屋体育大,470級
北海道,小樽商科大,スナイプ級
東北,東北大,スナイプ級
関東,慶應義塾大,スナイプ級
関東,早稲田大,スナイプ級
関東,明海大,スナイプ級
関東,日本大,スナイプ級
関東,中央大,スナイプ級
関東,法政大,スナイプ級
関東,明治大,スナイプ級
中部,三重大,スナイプ級
中部,名古屋工業大,スナイプ級
近畿北陸,同志社大,スナイプ級
近畿北陸,京都大,スナイプ級
近畿北陸,龍谷大,スナイプ級
関西,関西学院大,スナイプ級
関西,関西大,スナイプ級
関西,甲南大,スナイプ級
中国,広島大,スナイプ級
中国,山口大,スナイプ級
四国,香川大,スナイプ級
九州,九州大,スナイプ級
九州,福岡大,スナイプ級
九州,長崎総合科学大,スナイプ級
